test 1: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 45902
test 2: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 41298
test 3: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 45331
test 4: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 44935
test 5: no_error_count: 6938, error_count: 5070, ARE: 2.8528142045100493, counter_report: 43358
test 6: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 45234
test 7: no_error_count: 6151, error_count: 5857, ARE: 3.0767201793327548, counter_report: 42565
test 8: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 45491
test 9: no_error_count: 11968, error_count: 40, ARE: 1.6881744013956321, counter_report: 44378
test 10: no_error_count: 11892, error_count: 116, ARE: 1.9217563484652973, counter_report: 44165
test 11: no_error_count: 11882, error_count: 126, ARE: 2.2820803613097493, counter_report: 44378
test 12: no_error_count: 11984, error_count: 24, ARE: 1.6978587923105077, counter_report: 44105
test 13: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 45387
test 14: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 45877
test 15: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 45634
test 16: no_error_count: 11912, error_count: 96, ARE: 2.91036115712807, counter_report: 44679
test 17: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 45693
test 18: no_error_count: 11968, error_count: 40, ARE: 1.8109062111716034, counter_report: 44597
test 19: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 45627
test 20: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 45392
test 21: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 44765
test 22: no_error_count: 11900, error_count: 108, ARE: 3.3586286127425096, counter_report: 43990
test 23: no_error_count: 12000, error_count: 8, ARE: 1.4227184432179343, counter_report: 44894
test 24: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 45344
test 25: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 44909
test 26: no_error_count: 11992, error_count: 16, ARE: 1.9363011359519198, counter_report: 44712
test 27: no_error_count: 11992, error_count: 16, ARE: 1.5518636103679635, counter_report: 44657
test 28: no_error_count: 11952, error_count: 56, ARE: 2.458174639121609, counter_report: 44880
test 29: no_error_count: 11412, error_count: 596, ARE: 2.531449644138826, counter_report: 43594
test 30: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 45619
test 31: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 45293
test 32: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 45221
test 33: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 45511
test 34: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 45590
test 35: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 45896
test 36: no_error_count: 12000, error_count: 8, ARE: 1.3966791441383406, counter_report: 44901
test 37: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 45437
test 38: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 45180
test 39: no_error_count: 11823, error_count: 185, ARE: 1.9684251398409092, counter_report: 44092
test 40: no_error_count: 12000, error_count: 8, ARE: 1.0647048376601453, counter_report: 43907
test 41: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 45293
test 42: no_error_count: 12000, error_count: 8, ARE: 3.8647722715649087, counter_report: 44758
test 43: no_error_count: 11992, error_count: 16, ARE: 1.2542340690536817, counter_report: 45636
test 44: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 45300
test 45: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 45830
test 46: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 44885
test 47: no_error_count: 12000, error_count: 8, ARE: 1.5558956273390958, counter_report: 43794
test 48: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 44918
test 49: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 45781
test 50: no_error_count: 10404, error_count: 1604, ARE: 0.7935350180605939, counter_report: 40382
test 51: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 45614
test 52: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 44424
test 53: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 45450
test 54: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 45020
test 55: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 44697
test 56: no_error_count: 11952, error_count: 56, ARE: 1.9809284336064048, counter_report: 45099
test 57: no_error_count: 11964, error_count: 44, ARE: 1.4475090141622067, counter_report: 44740
test 58: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 45405
test 59: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 45321
test 60: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 44357
test 61: no_error_count: 12000, error_count: 8, ARE: 1.1267610177874072, counter_report: 45244
test 62: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 45741
test 63: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 44510
test 64: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 45622
test 65: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 45492
test 66: no_error_count: 11991, error_count: 17, ARE: 0.9187751443465972, counter_report: 45505
test 67: no_error_count: 11992, error_count: 16, ARE: 1.4390207524423322, counter_report: 44610
test 68: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 45676
test 69: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 45652
test 70: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 45546
test 71: no_error_count: 11578, error_count: 430, ARE: 2.467074643081119, counter_report: 43537
test 72: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 44722
test 73: no_error_count: 11936, error_count: 72, ARE: 2.2196419985624067, counter_report: 43675
test 74: no_error_count: 11935, error_count: 73, ARE: 1.0357906382001643, counter_report: 43346
test 75: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 44822
test 76: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 45589
test 77: no_error_count: 12008, error_count: 0, ARE: 0, counter_report: 44046
test 78: no_error_count: 11992, error_count: 16, ARE: 3.020583626033714, counter_report: 44166
