test 1: no_error_count: 120801, error_count: 7, ARE: 0.6485670058982068, counter_report: 47453
test 2: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46681
test 3: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46836
test 4: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46111
test 5: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46855
test 6: no_error_count: 120664, error_count: 144, ARE: 1.2206361023563372, counter_report: 46032
test 7: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46888
test 8: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46970
test 9: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 44685
test 10: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46871
test 11: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 45726
test 12: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 44423
test 13: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 45350
test 14: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46163
test 15: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47296
test 16: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47541
test 17: no_error_count: 120603, error_count: 205, ARE: 1.2695155144340808, counter_report: 45128
test 18: no_error_count: 120800, error_count: 8, ARE: 1.122184037950067, counter_report: 46269
test 19: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 45929
test 20: no_error_count: 120807, error_count: 1, ARE: 0, counter_report: 46816
test 21: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46828
test 22: no_error_count: 120784, error_count: 24, ARE: 1.0196091236361366, counter_report: 45776
test 23: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46709
test 24: no_error_count: 120760, error_count: 48, ARE: 1.1022560481970782, counter_report: 46334
test 25: no_error_count: 120807, error_count: 1, ARE: 0, counter_report: 46357
test 26: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47356
test 27: no_error_count: 120807, error_count: 1, ARE: 0, counter_report: 45837
test 28: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46804
test 29: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46978
test 30: no_error_count: 120807, error_count: 1, ARE: 0, counter_report: 45455
test 31: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47444
test 32: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46757
test 33: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46745
test 34: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47105
test 35: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46548
test 36: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46981
test 37: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46709
test 38: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47112
test 39: no_error_count: 120768, error_count: 40, ARE: 0.9972608948341591, counter_report: 46433
test 40: no_error_count: 120608, error_count: 200, ARE: 1.4235768869611989, counter_report: 44731
test 41: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46901
